candidates,phase,negative,neutral,positive,total,positive_ratio
Bartoszewicz,post,1,1,0,2,0.0
Biejat,between,2,0,2,4,0.5
Biejat,post,375,23,11,409,0.027
Biejat,pre,10,0,1,11,0.091
Braun,between,3,0,3,6,0.5
Braun,post,171,23,18,212,0.085
Braun,pre,9,2,1,12,0.083
Hołownia,between,5,0,2,7,0.286
Hołownia,post,108,17,9,134,0.067
Hołownia,pre,6,2,1,9,0.111
Jakubiak,between,1,0,0,1,0.0
Jakubiak,post,6,4,2,12,0.167
Jakubiak,pre,2,1,0,3,0.0
Maciak,post,5,2,0,7,0.0
Maciak,pre,1,0,1,2,0.5
Mentzen,between,6,1,1,8,0.125
Mentzen,post,261,22,17,300,0.057
Mentzen,pre,63,4,5,72,0.069
Nawrocki,between,28,5,4,37,0.108
Nawrocki,post,2102,115,109,2326,0.047
Nawrocki,pre,149,7,6,162,0.037
Senyszyn,post,25,1,3,29,0.103
Senyszyn,pre,3,0,0,3,0.0
Stanowski,between,1,0,0,1,0.0
Stanowski,post,56,9,5,70,0.071
Stanowski,pre,1,1,0,2,0.0
Trzaskowski,between,23,1,7,31,0.226
Trzaskowski,post,1292,79,86,1457,0.059
Trzaskowski,pre,110,6,7,123,0.057
Woch,post,4,2,1,7,0.143
Zandberg,between,4,1,3,8,0.375
Zandberg,post,483,53,33,569,0.058
Zandberg,pre,43,4,6,53,0.113
