candidates,phase,negative,neutral,positive,total,positive_ratio
Bartoszewicz,post,1,0,1,2,0.5
Biejat,between,1,1,2,4,0.5
Biejat,post,162,36,210,408,0.515
Biejat,pre,4,2,5,11,0.455
Braun,between,1,2,3,6,0.5
Braun,post,87,17,107,211,0.507
Braun,pre,4,2,6,12,0.5
Hołownia,between,4,1,2,7,0.286
Hołownia,post,54,11,69,134,0.515
Hołownia,pre,3,1,5,9,0.556
Jakubiak,between,0,1,0,1,0.0
Jakubiak,post,5,0,7,12,0.583
Jakubiak,pre,0,1,2,3,0.667
Maciak,post,1,0,5,6,0.833
Maciak,pre,0,1,1,2,0.5
Mentzen,between,3,1,4,8,0.5
Mentzen,post,111,24,165,300,0.55
Mentzen,pre,26,4,42,72,0.583
Nawrocki,between,14,5,18,37,0.486
Nawrocki,post,1061,169,1093,2323,0.471
Nawrocki,pre,66,13,83,162,0.512
Senyszyn,post,11,3,15,29,0.517
Senyszyn,pre,1,0,2,3,0.667
Stanowski,between,0,0,1,1,1.0
Stanowski,post,29,8,33,70,0.471
Stanowski,pre,0,1,1,2,0.5
Trzaskowski,between,10,7,14,31,0.452
Trzaskowski,post,657,108,692,1457,0.475
Trzaskowski,pre,56,10,57,123,0.463
Woch,post,3,0,4,7,0.571
Zandberg,between,3,2,3,8,0.375
Zandberg,post,190,50,328,568,0.577
Zandberg,pre,15,2,36,53,0.679
